Nome;Código de barras;Preço de venda;Motivo de erro
BISC ITAMARATY LOOK CHOCOLATE CX 55G;835281000407;2.99;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
BISC WAFFER BAUDUCCO MAXI COKIES BRANCO 130G;7891962048208;4.75;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
CACHACA YPIOCA OURO GF 965ML;7896383700681;25.00;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
CHOC GAROTO TALENTO MEIO AMARGO TAB 25G;78907355;3.80;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
CHOC LACTA AO LEITE TAB 80G;7622210673831;9.00;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
PIC JUND TRES CHOCOLATES PCT 20UN;7898036492646;4.00;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
PIC JUNDFRUTY MAIS FRUTA MORANGO PCT 60G;7898036493292;6.00;Falta de Custo médio (ele foi substituido pelo padrão 0.10)
REFRI GUARANA ANTARCTICA PET 1L;9164;7.00;codigo de barras inválido
